"Canberra Journal","Department of Health - Australia s & World Class Preparedness Against Ebola  Emergency and health workers on the    http   t co ylVoJgLr4z"
"Real vibz","RT  WHO   Ebola cases and deaths reported in  Nigeria and  Senegal as of 6 September 2014 http   t co kLrF6spESc"
"Craig Zelizer","RT  UNJobList   UNICEF  Guinea  TA Nutrition Specialist  Surveillance   P-3  Ebola Affected Countries    Grade  ICS-10 http   t co LhiUFSaf "
"Derek cheongshengze","RT  BBCBreaking   Ebola deaths in west Africa pass 2 400   WHO says  Background  http   t co syFFtjhgEN"
"Serf Brent Hoare","RT  MarianSmedley    Reuters_Health  Ebola cases rising faster than ability to contain them  WHO http   t co yukkGZ0HGu  This  bigger threa "
"•»Emmanuel«•","RT  WHO   Ebola cases and deaths reported in  Nigeria and  Senegal as of 6 September 2014 http   t co kLrF6spESc"
"Bee Loves Summer!","So lark I can t travel to Kenya coz of Ebola   pissed "
"Esobechukwu","RT  AgwuComedy  Ebola  OAU bars Liberian students from coming back to school http   t co lUEoniCiHQ"
"Tyler Tucker","Feel like I have Ebola  strep throat  a broke toe  and a sinus infection     but it s Friday  so I don t even care "
"Nigerian Current","Ebola   Heroine Of The &amp Day   Dr Ameyo Stella Adadevoh  To Be Buried Today http   t co 4cfbAS5VZ2  news"
"Elanyon","RT  WHO   Ebola screening - such as body temperature checks - at  Lagos airport   Nigeria http   t co PG3OHBHedO http   t co 0eFoA5HhGQ"
"Vitalgist","Photo-Ebola Patient left to die outside Liberian Hospital http   t co OQhJ3s9aIl"
"Amb Opeyemi Ahmed","RT  KenisCruise  Last Retweet  Dr Adadevoh saved Nigeria  Patrick Sawyer might have wanted to spread  Ebola on Lagos  go to Calabar  PH and "
"SirLankyKhavy","Photo-Ebola Patient left to die outside Liberian Hospital http   t co gKMCUdffOi"
"Charm Is Mie"," Share Life   Ebola Survivor Gives Blood to Treat New Victim  http   t co tJfSG0Prkf"
"Brainiac ","Photo-Ebola Patient left to die outside Liberian Hospital http   t co dvV6F2ZUjz"
"Serf Brent Hoare","RT  BBCBreaking   Ebola deaths in west Africa pass 2 400   WHO says  Background  http   t co syFFtjhgEN"
"AnthroHealth Durham","Ebola crisis in West Africa  where did all the development money go  http   t co Pwkx2ZsUKI via  ConversationUK"
"NH 'XO ♡","  Nick_DTA  Looooool I m the only black person in my business class  imagine when i sneezed someone whispered  Ebola      "
"Soy Valiente","Aww  PleiboiSwag  LMFAOOO FUCK U    girlish_lava  Hurray  Plei  Remove hairdress His Excellency  Mr  PleiboiSwag  msc  bsc  hiv  std  Ebola"
"Mazi Stephen","RT  NigeriaNewsdesk  Cuba is to send 165 healthcare workers to West Africa to help in the battle against the Ebola virus epidemic http   t  "
"William","What We re Afraid to Say About Ebola - http   t co uGIwzJ8IQt http   t co XWEc2ZK41a"
"Mazi Stephen","RT  NigeriaNewsdesk  The death toll from West Africa s Ebola outbreak has risen to more than 2 400 from at least 4 784 cases http   t co 3y "
"Erik Lamela","RT  Nick_DTA  Looooool I m the only black person in my business class  imagine when i sneezed someone whispered  Ebola "
"Kate Gartrell"," LT Take your head out of your butts or go to Africa where everyone is dying from Ebola and tell me you don t feel blessed to have our gov "
"Hon. S.A. Eletu","Ebola  South African Citizen Quarantined In Lagos  A South African  Folswe Elizabeth Maria  suspected of showi    http   t co ielU9CWWpe"
"Selflicious Suki","Ebola reached Nigeria D    it s a matter of time now   Then the awkward moment is sch kids gonna be happy when sch close  "
"IG: _Feezo_","Ebola  South African Citizen Quarantined In Lagos  A South African  Folswe Elizabeth Maria  suspected of showi    http   t co 3WVBsalVW4"
"Yvonne Alexis","RT  frankieboyle  Turns out the banks  leaving  Scotland are essentially changing some email addresses  I look forward to tomorrow s ebola  "
"O♥wealth","RT  WHO  Audio file from WHO press conf today on  Cuba committing to send health care professionals to West Africa for  Ebola http   t co G "
"Switboy IG@iamidunnu","Ebola  South African Citizen Quarantined In Lagos  A South African  Folswe Elizabeth Maria  suspected of showi    http   t co XTeY24IYHk"
"VALUED","RT  WHO  Audio file from WHO press conf today on  Cuba committing to send health care professionals to West Africa for  Ebola http   t co G "
"William","What We re Afraid to Say About Ebola http   t co y63WxaMcyG"
"Timmehta","Microsoft Co-Founder Paul Allen Contributes  9 Million to Fight Ebola - wgowam  Microsoft Co-Founder Paul Alle    http   t co qmd5VR7VCB"
"T.TEarlX Updates","Microsoft Co-Founder Paul Allen Contributes  9 Million to Fight Ebola - wgowam  Microsoft Co-Founder Paul Alle    http   t co Fbld6LMreN"
"T.TEarlX Updates","Microsoft Co-Founder Paul Allen Contributes  9 Million to Fight Ebola - wgowam http   t co qPxWZ63rF8"
"News Of The World"," News Australia doesn t need Ebola drugs  doctor  QUEENSLAND health authorities will review their handling of      http   t co tXc0LkPshB"
"NewsWinnipeg.net","Wpg Patients Test Negative For Ebola - http   t co gBulrOaaca  Winnipeg  CJOB"
"photoshop"," news West Africa Ebola toll rises to more than 2 400 dead  LONDON  Reuters  - The deat    http   t co jGnwXAd31K http   t co AQMACPxtIO"
"ModernGhana.Com","Cuba to send 165 health workers to Sierra Leone in Ebola fight  Geneva AFP - Cuba will send 165 doctors and nu    http   t co sSSol01a0Q"
"Sheriff","RT  nytvideo  This man is dying of Ebola right outside a hospital in Liberia because there s no more room http   t co 6UpQpxzREd http   t c "
"R.M.C.","The Washington Post  Lagging global aid effort on Ebola lacks focus  leadership  http   t co yxnf0BCMM4"
"Szabolcs Sandoly","RT  AFP   BREAKING Ebola death toll hits 2 400  WHO"
"Mark Carey","RT  BBCBreaking   Ebola deaths in west Africa pass 2 400   WHO says  Background  http   t co syFFtjhgEN"
"jobsila.com","Cuba sending dozens of doctors to fight Ebola  jobs  news  career  jobsila  Cuba http   t co uArfc6ggr5"
"۞ Timbuktu Stores ۞","RT  WHO   Ebola screening - such as body temperature checks - at  Lagos airport   Nigeria http   t co PG3OHBHedO http   t co 0eFoA5HhGQ"
